id,title,url,section,status,related_coursework,related_blog_ko,last_reviewed
bas-rf-htm,RF의 기초,https://rfdh.com/bas_rf.htm,smith-chart,indexed,high-frequency-engineering/smith-chart | high-frequency-engineering/l-network-stub,/blog/rf/smith-chart/,2026-08-02
bas-rf-beginer-htm,초보만세,https://rfdh.com/bas_rf/beginer.htm,smith-chart,indexed,high-frequency-engineering/smith-chart | high-frequency-engineering/l-network-stub,/blog/rf/smith-chart/,2026-08-02
bas-rf-begin-whatisrf-php3,RF란 무엇인가?,https://rfdh.com/bas_rf/begin/whatisrf.php3,foundations,indexed,high-frequency-engineering/distributed-circuits,/blog/rf/foundations/,2026-08-02
rfdb-msline-htm,RFDB : MicroStrip,https://rfdh.com/rfdb/msline.htm,transmission-lines,indexed,high-frequency-engineering/transmission-lines | high-frequency-engineering/microstrip,/blog/rf/transmission-lines/,2026-08-02
rfdb-dbmw-htm,RFDB : 전력변환,https://rfdh.com/rfdb/dbmw.htm,power-db,indexed,high-frequency-engineering/s-parameters,/blog/rf/db-dbm-power/,2026-08-02
rfdb-filter-htm,Prototype Filter Design,https://rfdh.com/rfdb/filter.htm,transmission-lines,indexed,high-frequency-engineering/transmission-lines | high-frequency-engineering/microstrip,/blog/rf/transmission-lines/,2026-08-02
bas-rf-maxwell-htm,Maxwell방정식의물리적인의미,https://rfdh.com/bas_rf/maxwell.htm,foundations,indexed,high-frequency-engineering/distributed-circuits,/blog/rf/foundations/,2026-08-02
bas-rf-act-pass-htm,Active와Passive의차이,https://rfdh.com/bas_rf/act_pass.htm,foundations,indexed,high-frequency-engineering/distributed-circuits,/blog/rf/foundations/,2026-08-02
bas-rf-imp-htm,임피던스,https://rfdh.com/bas_rf/imp.htm,foundations,indexed,high-frequency-engineering/distributed-circuits,/blog/rf/foundations/,2026-08-02
bas-rf-smith-htm,스미스차트의용도,https://rfdh.com/bas_rf/smith.htm,smith-chart,indexed,high-frequency-engineering/smith-chart | high-frequency-engineering/l-network-stub,/blog/rf/smith-chart/,2026-08-02
bas-rf-s-htm,S파라미터,https://rfdh.com/bas_rf/s.htm,s-parameters,indexed,high-frequency-engineering/s-parameters | high-frequency-engineering/cadence-workflow,/blog/rf/s-parameters-vna/,2026-08-02
bas-rf-trans-wg-htm,TransmissionLine과Waveguide,https://rfdh.com/bas_rf/trans_wg.htm,transmission-lines,indexed,high-frequency-engineering/transmission-lines | high-frequency-engineering/microstrip,/blog/rf/transmission-lines/,2026-08-02
bas-rf-mode-htm,Mode란대체무엇일까?,https://rfdh.com/bas_rf/mode.htm,transmission-lines,indexed,high-frequency-engineering/transmission-lines | high-frequency-engineering/microstrip,/blog/rf/transmission-lines/,2026-08-02
bas-rf-skin-htm,Skin Effect,https://rfdh.com/bas_rf/skin.htm,transmission-lines,indexed,high-frequency-engineering/transmission-lines | high-frequency-engineering/microstrip,/blog/rf/transmission-lines/,2026-08-02
bas-rf-rf-difficult-htm,RF회로를만들때어려운점,https://rfdh.com/bas_rf/rf_difficult.htm,wireless-communications,indexed,digital-communications,/blog/rf/wireless-communications/,2026-08-02
bas-rf-emwave-htm,전자파의 성질,https://rfdh.com/bas_rf/emwave.htm,transmission-lines,indexed,high-frequency-engineering/transmission-lines | high-frequency-engineering/microstrip,/blog/rf/transmission-lines/,2026-08-02
bas-rf-microstrip-htm,Microstrip을쓰는이유,https://rfdh.com/bas_rf/microstrip.htm,transmission-lines,indexed,high-frequency-engineering/transmission-lines | high-frequency-engineering/microstrip,/blog/rf/transmission-lines/,2026-08-02
bas-rf-ms-make-htm,Microstrip 제작법,https://rfdh.com/bas_rf/ms_make.htm,transmission-lines,indexed,high-frequency-engineering/transmission-lines | high-frequency-engineering/microstrip,/blog/rf/transmission-lines/,2026-08-02
bas-rf-network-htm,Network Analyzer,https://rfdh.com/bas_rf/network.htm,instrumentation,indexed,high-frequency-engineering/cadence-workflow | high-frequency-engineering/result-interpretation,/blog/rf/measurement-vna/,2026-08-02
bas-rf-hpib-htm,컴퓨터-계측기 연동,https://rfdh.com/bas_rf/hpib.htm,instrumentation,indexed,high-frequency-engineering/cadence-workflow | high-frequency-engineering/result-interpretation,/blog/rf/measurement-vna/,2026-08-02
bas-com-1-1-htm,1-1 통신시스템 시뮬레이션의 기초,https://rfdh.com/bas_com/1-1.htm,wireless-communications,indexed,digital-communications,/blog/rf/wireless-communications/,2026-08-02
bas-com-1-2-htm,제목없음,https://rfdh.com/bas_com/1-2.htm,wireless-communications,indexed,digital-communications,/blog/rf/wireless-communications/,2026-08-02
bas-com-1-3-htm,제목없음,https://rfdh.com/bas_com/1-3.htm,wireless-communications,indexed,digital-communications,/blog/rf/wireless-communications/,2026-08-02
